Communication,alpha_key,start_date,end_date,start_balance,end_balance,start_accounts,end_accounts,nsegments,Contact_flag,control_flag
day90,user_177,2024-03-12,2024-03-19,2077.11,2390.8,1,1,['1000148'],1,0
day90,user_281,2024-04-03,2024-04-10,2879.82,3305.33,1,1,"['1000030', '1000049']",1,0
day1,user_254,2024-01-31,2024-02-07,3053.02,3093.09,1,1,"['1000107', '1000125', '1000027']",0,1
day120,user_292,2024-04-16,2024-04-23,3034.96,3169.86,1,1,"['1000070', '1000011']",0,1
day90,user_195,2024-05-14,2024-05-21,5102.57,5473.18,1,2,"['1000012', '1000142']",1,0
day90,user_250,2024-04-23,2024-04-30,2941.79,3059.48,1,1,['1000136'],1,0
day90,user_270,2024-05-25,2024-06-01,0.0,132.74,0,1,"['1000021', '1000061', '1000104', '1000125']",1,0
day31,user_31,2024-04-18,2024-04-25,4923.04,5121.71,1,1,"['1000016', '1000054', '1000145', '1000080']",0,1
day90,user_49,2024-02-28,2024-03-06,4650.02,4901.3,1,1,"['1000045', '1000129', '1000027']",1,0
day120,user_79,2024-03-15,2024-03-22,2447.77,2458.16,1,1,"['1000108', '1000105', '1000119']",1,0
day1,user_103,2024-02-04,2024-02-11,719.25,836.63,1,1,"['1000130', '1000020']",1,0
day61,user_21,2024-05-22,2024-05-29,2175.85,3165.75,1,1,"['1000097', '1000071']",1,0
day7,user_209,2024-05-29,2024-06-05,4018.38,4267.14,0,0,"['1000098', '1000039', '1000054']",0,1
day31,user_147,2024-04-09,2024-04-16,1548.82,1195.06,1,1,['1000085'],1,0
day1,user_249,2024-05-26,2024-06-02,3604.64,3592.71,1,1,"['1000010', '1000088']",0,1
day90,user_76,2024-01-28,2024-02-04,89.49,0.0,0,0,"['1000138', '1000033', '1000146', '1000147']",1,0
day90,user_290,2024-02-22,2024-02-29,3114.25,3652.07,1,2,"['1000077', '1000003', '1000136']",1,0
day7,user_4,2024-01-25,2024-02-01,1987.33,2082.29,0,0,"['1000007', '1000023', '1000055', '1000059']",0,1
day90,user_290,2024-05-19,2024-05-26,2492.99,3136.62,1,1,"['1000077', '1000003', '1000136']",1,0
day90,user_6,2024-05-16,2024-05-23,5271.92,5573.62,2,3,['1000006'],1,0
day31,user_99,2024-05-19,2024-05-26,3102.3,3393.86,0,0,"['1000138', '1000015', '1000080']",1,0
day90,user_299,2024-06-09,2024-06-16,4166.05,4508.14,2,3,['1000122'],1,0
day31,user_159,2024-02-16,2024-02-23,4796.17,4886.29,1,1,"['1000007', '1000029', '1000066']",1,0
day90,user_144,2024-05-03,2024-05-10,3760.73,4314.82,1,1,"['1000143', '1000104', '1000039']",1,0
day61,user_197,2024-03-01,2024-03-08,3865.69,4175.12,2,2,['1000118'],0,1
day120,user_226,2024-05-14,2024-05-21,3204.51,3363.61,1,1,"['1000021', '1000109']",1,0
day1,user_192,2024-06-21,2024-06-28,576.89,414.55,1,1,"['1000037', '1000001', '1000027']",1,0
day120,user_154,2024-06-11,2024-06-18,2122.53,2592.27,1,2,"['1000006', '1000049']",1,0
day31,user_153,2024-06-25,2024-07-02,424.21,145.96,2,2,['1000057'],0,1
day31,user_238,2024-06-01,2024-06-08,1477.31,1545.78,1,1,"['1000121', '1000029', '1000144', '1000055']",0,1
day1,user_54,2024-02-05,2024-02-12,2800.31,3198.36,1,1,"['1000028', '1000092', '1000078', '1000061']",1,0
day61,user_59,2024-01-08,2024-01-15,2410.92,2301.22,1,1,"['1000032', '1000121', '1000140']",1,0
day90,user_132,2024-03-23,2024-03-30,3099.83,3307.64,2,2,['1000033'],1,0
day7,user_133,2024-06-26,2024-07-03,3456.0,3574.12,2,2,"['1000067', '1000041', '1000113']",1,0
day31,user_283,2024-06-28,2024-07-05,4668.6,4744.49,0,0,"['1000047', '1000049']",0,1
day90,user_34,2024-03-02,2024-03-09,3563.63,3832.39,2,2,['1000036'],1,0
day61,user_218,2024-01-22,2024-01-29,0.0,513.81,0,0,"['1000107', '1000137', '1000139']",1,0
day90,user_193,2024-04-02,2024-04-09,2033.61,1977.46,2,2,"['1000108', '1000056', '1000045']",1,0
day90,user_229,2024-01-18,2024-01-25,3935.49,4357.9,2,2,"['1000046', '1000012']",1,0
day90,user_209,2024-03-30,2024-04-06,3644.69,3916.77,0,0,"['1000098', '1000039', '1000054']",0,1
day5,user_112,2024-01-08,2024-01-15,904.92,837.74,0,0,"['1000117', '1000080']",0,1
day90,user_26,2024-03-30,2024-04-06,1951.82,1998.07,2,2,"['1000118', '1000097']",1,0
day120,user_172,2024-05-27,2024-06-03,2903.75,2890.54,1,1,"['1000075', '1000141', '1000032', '1000049']",0,1
day1,user_258,2024-03-24,2024-03-31,2889.41,3580.11,1,2,"['1000123', '1000119', '1000111']",1,0
day120,user_269,2024-03-14,2024-03-21,759.63,638.55,1,1,"['1000132', '1000048']",1,0
day90,user_50,2024-02-17,2024-02-24,1309.25,1203.25,1,1,"['1000076', '1000129']",0,1
day61,user_35,2024-06-13,2024-06-20,4766.38,5351.68,1,1,"['1000067', '1000035', '1000063', '1000143']",1,0
day120,user_292,2024-06-22,2024-06-29,2858.76,2995.03,1,1,"['1000070', '1000011']",1,0
day61,user_61,2024-06-28,2024-07-05,5145.87,4894.52,1,1,['1000108'],1,0
day1,user_101,2024-05-13,2024-05-20,1488.95,1962.21,1,1,"['1000149', '1000122']",1,0
day90,user_213,2024-03-07,2024-03-14,1863.53,2581.63,2,2,"['1000015', '1000052', '1000107']",1,0
day7,user_239,2024-02-09,2024-02-16,298.09,782.58,1,1,"['1000119', '1000065']",1,0
day1,user_60,2024-02-23,2024-03-01,0.0,839.28,1,1,"['1000042', '1000067', '1000135']",1,0
day61,user_252,2024-05-24,2024-05-31,3486.23,3157.39,0,0,['1000087'],0,1
day5,user_291,2024-05-18,2024-05-25,3843.51,3685.2,1,1,['1000032'],0,1
day7,user_150,2024-04-11,2024-04-18,2886.63,2939.08,2,2,"['1000120', '1000056', '1000051']",1,0
day7,user_116,2024-01-25,2024-02-01,5429.79,5702.9,0,0,"['1000129', '1000067']",0,1
day120,user_87,2024-03-01,2024-03-08,5777.66,5474.57,1,1,"['1000113', '1000140', '1000025', '1000012']",1,0
day120,user_114,2024-06-05,2024-06-12,634.97,890.59,2,2,"['1000144', '1000025', '1000018', '1000137']",1,0
day1,user_117,2024-03-11,2024-03-18,0.0,111.73,1,2,"['1000033', '1000089', '1000017', '1000062']",1,0
day120,user_248,2024-03-17,2024-03-24,3000.24,3353.75,0,0,"['1000077', '1000030', '1000144']",1,0
day1,user_114,2024-01-18,2024-01-25,309.51,1170.68,2,2,"['1000144', '1000025', '1000018', '1000137']",1,0
day61,user_240,2024-01-30,2024-02-06,2729.59,2484.33,0,0,"['1000094', '1000042', '1000029']",0,1
day90,user_138,2024-04-25,2024-05-02,4859.17,5765.32,0,0,['1000038'],1,0
day5,user_127,2024-03-16,2024-03-23,1681.07,1759.18,1,1,"['1000053', '1000087', '1000052', '1000067']",1,0
day61,user_265,2024-01-03,2024-01-10,3278.01,3534.21,1,1,"['1000086', '1000007', '1000126', '1000083']",1,0
day61,user_49,2024-04-21,2024-04-28,4877.08,4411.39,1,2,"['1000045', '1000129', '1000027']",1,0
day31,user_292,2024-05-04,2024-05-11,3083.61,2845.6,1,1,"['1000070', '1000011']",0,1
day5,user_44,2024-02-01,2024-02-08,1853.52,1564.97,1,1,"['1000064', '1000141', '1000002', '1000029']",1,0
day7,user_207,2024-02-15,2024-02-22,1397.05,1277.91,1,2,"['1000035', '1000038']",1,0
day5,user_212,2024-06-04,2024-06-11,2309.6,2326.14,1,1,"['1000138', '1000119', '1000106']",1,0
day7,user_287,2024-04-21,2024-04-28,1473.72,2056.09,0,0,['1000025'],1,0
day90,user_161,2024-05-02,2024-05-09,1285.57,1299.76,1,2,"['1000148', '1000067', '1000009', '1000027']",0,1
day90,user_146,2024-02-16,2024-02-23,1495.42,1723.03,1,2,"['1000105', '1000006', '1000045']",0,1
day31,user_72,2024-03-26,2024-04-02,926.58,722.14,1,1,"['1000017', '1000008']",1,0
day61,user_217,2024-02-15,2024-02-22,4574.62,4732.86,1,1,"['1000001', '1000090', '1000076', '1000099']",0,1
day61,user_253,2024-06-23,2024-06-30,5553.25,5321.44,0,0,['1000003'],0,1
day120,user_268,2024-03-18,2024-03-25,2630.96,3480.48,0,1,"['1000070', '1000142', '1000002']",1,0
day90,user_239,2024-01-17,2024-01-24,1016.2,1208.02,1,1,"['1000119', '1000065']",0,1
day61,user_21,2024-02-06,2024-02-13,2549.95,2582.53,1,2,"['1000097', '1000071']",1,0
day31,user_1,2024-06-20,2024-06-27,3272.65,3045.89,1,1,['1000057'],1,0
day31,user_95,2024-05-19,2024-05-26,3010.2,3502.59,1,2,"['1000108', '1000142']",1,0
day61,user_298,2024-01-30,2024-02-06,5203.53,5577.76,0,0,"['1000087', '1000047', '1000013', '1000064']",1,0
day90,user_73,2024-06-08,2024-06-15,5242.15,5884.88,1,2,['1000084'],1,0
day61,user_201,2024-04-09,2024-04-16,3814.03,4689.66,2,2,"['1000115', '1000066', '1000063']",1,0
day7,user_164,2024-04-10,2024-04-17,2086.93,2205.98,1,1,['1000147'],0,1
day61,user_62,2024-01-29,2024-02-05,5401.92,5611.26,0,0,['1000054'],1,0
day61,user_89,2024-04-17,2024-04-24,3399.9,3697.85,1,1,"['1000023', '1000060', '1000042', '1000104']",1,0
day61,user_169,2024-04-20,2024-04-27,1668.86,1516.17,1,1,"['1000080', '1000031', '1000076', '1000129']",1,0
day1,user_20,2024-05-20,2024-05-27,3279.7,3349.37,1,1,['1000025'],0,1
day120,user_285,2024-05-16,2024-05-23,2794.84,3121.83,2,2,['1000134'],1,0
day90,user_59,2024-05-24,2024-05-31,3794.68,4326.26,1,2,"['1000032', '1000121', '1000140']",1,0
day90,user_161,2024-04-29,2024-05-06,1478.91,1855.97,1,1,"['1000148', '1000067', '1000009', '1000027']",0,1
day31,user_96,2024-01-17,2024-01-24,749.47,510.54,1,1,"['1000124', '1000039', '1000048', '1000075']",1,0
day120,user_164,2024-02-17,2024-02-24,1573.22,2018.84,1,1,['1000147'],1,0
day31,user_245,2024-01-16,2024-01-23,1109.14,1575.27,1,1,['1000019'],1,0
day90,user_16,2024-02-05,2024-02-12,1760.95,2163.73,0,0,"['1000096', '1000020', '1000141', '1000075']",1,0
day90,user_298,2024-04-07,2024-04-14,4935.05,5625.68,0,0,"['1000087', '1000047', '1000013', '1000064']",1,0
day7,user_165,2024-02-08,2024-02-15,4794.35,5297.66,2,2,"['1000048', '1000065', '1000011', '1000111']",1,0
day31,user_67,2024-02-16,2024-02-23,1282.42,1745.95,2,2,"['1000057', '1000016', '1000086', '1000005']",1,0
day61,user_224,2024-02-07,2024-02-14,2281.57,2358.27,1,1,"['1000100', '1000144']",1,0
day1,user_236,2024-03-21,2024-03-28,0.0,0.0,1,1,"['1000051', '1000005']",0,1
day120,user_267,2024-03-09,2024-03-16,2309.36,2272.95,0,1,"['1000066', '1000087', '1000071']",1,0
day7,user_193,2024-06-13,2024-06-20,1716.87,1540.77,2,2,"['1000108', '1000056', '1000045']",1,0
day90,user_277,2024-02-18,2024-02-25,5561.91,6109.17,1,1,['1000135'],1,0
day120,user_203,2024-05-09,2024-05-16,5071.83,5626.05,1,1,"['1000133', '1000124', '1000061', '1000070']",1,0
day31,user_98,2024-03-06,2024-03-13,3717.25,3985.38,2,2,['1000148'],1,0
day31,user_59,2024-05-02,2024-05-09,3131.92,3097.77,1,1,"['1000032', '1000121', '1000140']",0,1
day31,user_29,2024-03-02,2024-03-09,2728.37,2899.23,1,2,['1000102'],0,1
day31,user_190,2024-03-13,2024-03-20,2833.22,2491.21,1,1,"['1000098', '1000126', '1000102']",1,0
day5,user_171,2024-04-01,2024-04-08,2875.5,3202.06,1,1,"['1000104', '1000083', '1000103']",1,0
day1,user_69,2024-02-23,2024-03-01,4771.65,4893.43,1,1,"['1000056', '1000001']",1,0
day31,user_34,2024-01-12,2024-01-19,3493.59,3709.43,2,2,['1000036'],0,1
day120,user_288,2024-06-09,2024-06-16,4529.48,5146.06,1,1,"['1000049', '1000075', '1000058', '1000092']",1,0
day31,user_13,2024-05-10,2024-05-17,3317.65,3121.03,1,1,"['1000097', '1000024', '1000091', '1000088']",0,1
day120,user_194,2024-05-17,2024-05-24,4486.4,4883.62,1,1,"['1000132', '1000118']",1,0
day90,user_129,2024-06-04,2024-06-11,2251.35,2199.97,1,1,"['1000023', '1000108', '1000070', '1000011']",0,1
day120,user_170,2024-03-30,2024-04-06,5725.07,5945.84,1,1,['1000079'],1,0
day90,user_291,2024-01-18,2024-01-25,3670.47,3985.98,1,1,['1000032'],1,0
day120,user_86,2024-05-02,2024-05-09,4208.64,4217.97,0,0,['1000019'],1,0
day1,user_183,2024-03-09,2024-03-16,3743.8,3694.73,2,2,['1000023'],0,1
day61,user_64,2024-05-01,2024-05-08,1878.76,1875.6,1,1,"['1000102', '1000095']",0,1
day5,user_113,2024-05-29,2024-06-05,1124.89,1203.85,0,1,"['1000018', '1000002', '1000117']",1,0
day7,user_183,2024-03-04,2024-03-11,4000.3,4346.83,2,3,['1000023'],1,0
day1,user_90,2024-06-13,2024-06-20,3775.4,4692.58,1,1,"['1000124', '1000123', '1000054', '1000102']",1,0
day90,user_86,2024-02-04,2024-02-11,4569.75,4176.06,0,0,['1000019'],1,0
day90,user_134,2024-06-25,2024-07-02,4236.44,4307.41,1,1,['1000141'],1,0
day120,user_73,2024-04-10,2024-04-17,4133.66,4142.94,1,1,['1000084'],0,1
day90,user_3,2024-02-01,2024-02-08,0.0,883.71,1,1,"['1000022', '1000108', '1000008']",1,0
day61,user_36,2024-04-04,2024-04-11,1923.19,2013.85,1,2,['1000137'],1,0
day31,user_253,2024-01-29,2024-02-05,5501.63,5642.91,0,0,['1000003'],1,0
day1,user_231,2024-03-30,2024-04-06,2416.6,2380.1,0,0,"['1000116', '1000083', '1000086', '1000097']",0,1
day31,user_5,2024-04-22,2024-04-29,3988.19,4030.2,1,2,['1000129'],1,0
day31,user_71,2024-03-30,2024-04-06,1549.91,2277.33,0,0,['1000058'],1,0
day90,user_301,2024-05-18,2024-05-25,4914.14,5515.24,0,0,"['1000016', '1000102', '1000125']",1,0
day61,user_280,2024-05-03,2024-05-10,3802.89,4164.81,1,1,"['1000069', '1000078', '1000064', '1000059']",1,0
day7,user_7,2024-04-14,2024-04-21,1918.78,1858.44,1,1,"['1000143', '1000050', '1000139']",1,0
day90,user_12,2024-06-04,2024-06-11,5718.23,5668.53,1,1,"['1000086', '1000026', '1000023']",0,1
day90,user_243,2024-04-17,2024-04-24,5428.09,5859.48,1,1,"['1000079', '1000147', '1000096']",1,0
day120,user_64,2024-01-04,2024-01-11,1870.63,1735.29,1,1,"['1000102', '1000095']",0,1
day1,user_22,2024-05-13,2024-05-20,3218.14,3341.62,0,0,"['1000116', '1000093', '1000041', '1000094']",1,0
day7,user_179,2024-05-28,2024-06-04,2888.76,3088.44,2,2,['1000113'],0,1
day90,user_17,2024-06-28,2024-07-05,1280.28,1336.14,0,0,"['1000092', '1000147', '1000049', '1000017']",1,0
day90,user_243,2024-06-01,2024-06-08,5599.22,6181.41,1,1,"['1000079', '1000147', '1000096']",1,0
day1,user_66,2024-04-03,2024-04-10,3300.59,3097.84,1,2,['1000063'],1,0
day31,user_46,2024-04-15,2024-04-22,2210.38,2341.48,1,1,"['1000075', '1000111', '1000040']",1,0
day120,user_249,2024-04-20,2024-04-27,4049.18,3891.43,1,2,"['1000010', '1000088']",1,0
day90,user_150,2024-04-29,2024-05-06,2184.27,2392.14,2,2,"['1000120', '1000056', '1000051']",0,1
day1,user_236,2024-02-12,2024-02-19,0.0,0.0,1,1,"['1000051', '1000005']",1,0
day90,user_58,2024-04-15,2024-04-22,3307.16,4277.72,1,2,['1000032'],1,0
day5,user_131,2024-04-19,2024-04-26,3801.75,4297.52,1,2,['1000085'],1,0
day90,user_270,2024-05-18,2024-05-25,0.0,0.0,0,0,"['1000021', '1000061', '1000104', '1000125']",1,0
day90,user_250,2024-02-24,2024-03-02,2376.32,2859.13,1,2,['1000136'],1,0
day61,user_77,2024-01-14,2024-01-21,3063.97,3124.29,1,1,"['1000121', '1000062', '1000104']",1,0
day61,user_139,2024-04-24,2024-05-01,2391.66,3086.7,2,3,"['1000139', '1000009', '1000094', '1000149']",1,0
day90,user_81,2024-04-25,2024-05-02,4385.21,4885.94,1,1,['1000086'],1,0
day7,user_76,2024-02-14,2024-02-21,204.81,584.67,0,1,"['1000138', '1000033', '1000146', '1000147']",1,0
day120,user_252,2024-01-22,2024-01-29,2998.61,2656.22,0,0,['1000087'],1,0
day120,user_273,2024-06-19,2024-06-26,6738.86,6775.15,2,2,['1000056'],1,0
day61,user_64,2024-05-01,2024-05-08,2853.26,2742.33,1,1,"['1000102', '1000095']",0,1
day120,user_295,2024-06-01,2024-06-08,3652.74,3680.15,1,1,"['1000003', '1000146']",0,1
day7,user_270,2024-04-01,2024-04-08,424.46,240.85,0,0,"['1000021', '1000061', '1000104', '1000125']",1,0
day31,user_33,2024-06-15,2024-06-22,5169.19,4740.92,1,1,"['1000101', '1000117']",1,0
day61,user_6,2024-04-28,2024-05-05,5341.67,5076.72,2,2,['1000006'],0,1
day120,user_196,2024-06-27,2024-07-04,2769.08,3360.42,2,2,"['1000063', '1000031', '1000116', '1000034']",1,0
day1,user_197,2024-02-09,2024-02-16,2999.07,2911.96,2,3,['1000118'],1,0
day61,user_57,2024-04-07,2024-04-14,4803.66,4566.37,1,1,"['1000124', '1000017', '1000136']",0,1
day31,user_102,2024-05-26,2024-06-02,4308.59,3640.04,1,1,"['1000128', '1000135', '1000040', '1000014']",0,1
day31,user_145,2024-02-13,2024-02-20,1101.53,964.11,1,1,"['1000060', '1000041', '1000045']",0,1
day120,user_243,2024-02-02,2024-02-09,6135.68,6393.11,1,1,"['1000079', '1000147', '1000096']",1,0
day120,user_54,2024-04-24,2024-05-01,3175.36,3027.44,1,1,"['1000028', '1000092', '1000078', '1000061']",1,0
day1,user_94,2024-04-18,2024-04-25,3280.46,3754.97,1,1,"['1000116', '1000073']",1,0
day31,user_249,2024-04-20,2024-04-27,3613.9,3804.31,1,2,"['1000010', '1000088']",1,0
day120,user_228,2024-06-19,2024-06-26,3096.49,3255.31,1,1,['1000118'],0,1
day120,user_243,2024-01-18,2024-01-25,5745.15,5384.29,1,1,"['1000079', '1000147', '1000096']",0,1
day90,user_54,2024-03-31,2024-04-07,3401.9,4042.41,1,2,"['1000028', '1000092', '1000078', '1000061']",1,0
day61,user_153,2024-05-19,2024-05-26,1175.19,1975.88,2,2,['1000057'],1,0
day1,user_144,2024-03-04,2024-03-11,3858.33,4156.65,1,1,"['1000143', '1000104', '1000039']",1,0
day5,user_167,2024-02-23,2024-03-01,3822.54,3947.37,1,2,"['1000050', '1000093', '1000110']",1,0
day1,user_267,2024-03-02,2024-03-09,1138.83,1273.38,0,1,"['1000066', '1000087', '1000071']",1,0
day90,user_287,2024-03-04,2024-03-11,1665.49,1976.62,0,0,['1000025'],0,1
day1,user_109,2024-03-07,2024-03-14,5670.97,5538.87,1,1,"['1000144', '1000133', '1000080', '1000066']",1,0
day7,user_18,2024-06-06,2024-06-13,1516.66,1764.16,0,1,"['1000011', '1000058', '1000074']",1,0
day5,user_99,2024-03-08,2024-03-15,2145.41,2399.51,0,0,"['1000138', '1000015', '1000080']",0,1
day90,user_158,2024-01-30,2024-02-06,3338.94,3353.99,1,1,"['1000130', '1000102', '1000137', '1000084']",0,1
day90,user_99,2024-03-05,2024-03-12,2805.19,2776.35,0,1,"['1000138', '1000015', '1000080']",1,0
day1,user_275,2024-06-24,2024-07-01,3636.91,3808.12,1,1,['1000094'],0,1
day1,user_203,2024-04-02,2024-04-09,5488.32,5427.92,1,1,"['1000133', '1000124', '1000061', '1000070']",1,0
day5,user_268,2024-05-13,2024-05-20,2123.46,2134.87,0,0,"['1000070', '1000142', '1000002']",1,0
day61,user_91,2024-01-11,2024-01-18,5345.83,5808.67,2,2,"['1000015', '1000042']",1,0
day90,user_246,2024-01-10,2024-01-17,3267.33,3857.3,2,2,['1000062'],1,0
day90,user_183,2024-05-21,2024-05-28,4376.78,4535.25,2,2,['1000023'],1,0
day31,user_188,2024-01-07,2024-01-14,4858.2,4890.84,0,0,"['1000018', '1000116']",0,1
day7,user_58,2024-06-08,2024-06-15,3680.9,3737.39,1,1,['1000032'],1,0
day1,user_100,2024-02-13,2024-02-20,3973.51,4507.17,0,0,"['1000014', '1000012']",0,1
day120,user_74,2024-03-16,2024-03-23,4539.14,4797.37,1,2,"['1000018', '1000131']",1,0
day1,user_265,2024-04-14,2024-04-21,3628.52,3620.2,1,1,"['1000086', '1000007', '1000126', '1000083']",1,0
day90,user_212,2024-04-30,2024-05-07,4336.96,5320.89,1,1,"['1000138', '1000119', '1000106']",1,0
day7,user_113,2024-06-18,2024-06-25,2134.49,1940.4,0,0,"['1000018', '1000002', '1000117']",1,0
day61,user_4,2024-05-28,2024-06-04,1969.71,2765.68,0,0,"['1000007', '1000023', '1000055', '1000059']",1,0
day1,user_223,2024-06-08,2024-06-15,4148.28,4628.35,2,2,"['1000136', '1000006']",1,0
day120,user_58,2024-06-13,2024-06-20,4235.18,4485.41,1,1,['1000032'],1,0
day5,user_72,2024-01-25,2024-02-01,1353.0,1502.98,1,1,"['1000017', '1000008']",1,0
day7,user_59,2024-05-18,2024-05-25,2489.66,2471.39,1,1,"['1000032', '1000121', '1000140']",0,1
day120,user_93,2024-01-03,2024-01-10,3549.98,3934.74,1,2,"['1000099', '1000067']",1,0
day31,user_300,2024-04-25,2024-05-02,2091.85,2548.04,0,1,['1000029'],1,0
day120,user_72,2024-02-17,2024-02-24,968.71,1665.01,1,1,"['1000017', '1000008']",1,0
day7,user_201,2024-02-26,2024-03-04,3296.73,3395.93,2,3,"['1000115', '1000066', '1000063']",1,0
day120,user_244,2024-02-21,2024-02-28,2447.01,2712.48,2,2,"['1000101', '1000050']",0,1
day31,user_5,2024-04-08,2024-04-15,4530.64,4246.2,1,1,['1000129'],0,1
day120,user_126,2024-02-04,2024-02-11,3069.33,3234.91,1,2,['1000072'],1,0
day90,user_210,2024-06-13,2024-06-20,4201.4,4345.73,2,2,"['1000016', '1000106', '1000104']",0,1
day61,user_130,2024-01-28,2024-02-04,4390.61,4459.95,0,0,['1000000'],1,0
day1,user_224,2024-03-02,2024-03-09,2220.51,2255.82,1,1,"['1000100', '1000144']",1,0
day90,user_142,2024-06-09,2024-06-16,1274.54,2261.35,0,0,"['1000078', '1000093', '1000010', '1000091']",1,0
day31,user_111,2024-05-28,2024-06-04,1686.11,2024.15,0,0,"['1000067', '1000101', '1000033', '1000076']",0,1
day31,user_243,2024-02-10,2024-02-17,5991.56,6223.43,1,1,"['1000079', '1000147', '1000096']",0,1
day1,user_240,2024-03-14,2024-03-21,2667.4,3141.46,0,0,"['1000094', '1000042', '1000029']",1,0
day31,user_103,2024-06-06,2024-06-13,0.0,37.05,1,2,"['1000130', '1000020']",0,1
day1,user_119,2024-01-14,2024-01-21,4399.79,4534.24,0,0,"['1000072', '1000040', '1000112', '1000139']",1,0
day5,user_23,2024-03-31,2024-04-07,4576.76,4789.79,2,2,"['1000090', '1000053', '1000068', '1000018']",1,0
day90,user_204,2024-06-15,2024-06-22,4047.72,3708.16,1,1,['1000112'],1,0
day7,user_32,2024-01-31,2024-02-07,4046.84,4333.03,0,0,"['1000054', '1000127']",1,0
day61,user_267,2024-01-02,2024-01-09,2114.27,1959.88,0,0,"['1000066', '1000087', '1000071']",0,1
day61,user_225,2024-04-11,2024-04-18,5789.1,5916.18,2,2,['1000006'],1,0
day61,user_275,2024-02-10,2024-02-17,3605.45,3855.08,1,1,['1000094'],1,0
day1,user_33,2024-04-20,2024-04-27,4386.9,4539.27,1,1,"['1000101', '1000117']",1,0
day90,user_125,2024-04-04,2024-04-11,958.15,1053.58,1,2,"['1000039', '1000069']",1,0
day90,user_167,2024-02-05,2024-02-12,4590.01,4839.78,1,1,"['1000050', '1000093', '1000110']",0,1
day1,user_274,2024-02-22,2024-02-29,5699.71,5822.5,1,1,"['1000103', '1000062', '1000078', '1000148']",0,1
day90,user_28,2024-03-14,2024-03-21,7315.79,7548.77,1,1,"['1000014', '1000058', '1000008', '1000080']",1,0
day31,user_123,2024-01-19,2024-01-26,4599.1,4418.85,1,1,['1000034'],1,0
day120,user_95,2024-05-29,2024-06-05,3243.16,3317.06,1,1,"['1000108', '1000142']",1,0
day31,user_137,2024-05-07,2024-05-14,1189.74,1997.57,1,1,"['1000002', '1000028', '1000019']",1,0
day90,user_166,2024-05-20,2024-05-27,4254.94,5004.8,1,1,"['1000000', '1000133', '1000137']",1,0
day7,user_22,2024-04-11,2024-04-18,1550.16,2239.54,0,0,"['1000116', '1000093', '1000041', '1000094']",1,0
day90,user_262,2024-04-07,2024-04-14,2191.28,2184.5,1,1,['1000071'],0,1
day61,user_250,2024-02-28,2024-03-06,2114.25,2576.54,1,1,['1000136'],1,0
day5,user_170,2024-06-28,2024-07-05,5647.87,5943.91,1,1,['1000079'],0,1
day61,user_193,2024-02-25,2024-03-03,1648.65,1629.08,2,2,"['1000108', '1000056', '1000045']",1,0
day7,user_72,2024-03-08,2024-03-15,2349.03,2754.92,1,1,"['1000017', '1000008']",0,1
day1,user_216,2024-04-29,2024-05-06,153.38,18.91,2,2,['1000122'],0,1
day90,user_91,2024-05-21,2024-05-28,5532.82,5899.98,2,2,"['1000015', '1000042']",1,0
day1,user_149,2024-06-08,2024-06-15,676.73,695.66,1,1,"['1000027', '1000097', '1000009']",1,0
day90,user_65,2024-01-01,2024-01-08,4094.01,4174.76,1,1,"['1000112', '1000132', '1000115', '1000030']",1,0
day120,user_142,2024-01-03,2024-01-10,3364.18,3609.18,0,0,"['1000078', '1000093', '1000010', '1000091']",0,1
day61,user_212,2024-04-11,2024-04-18,3851.96,3985.78,1,1,"['1000138', '1000119', '1000106']",1,0
day61,user_264,2024-01-29,2024-02-05,4241.52,4207.48,1,1,"['1000145', '1000097']",1,0
day61,user_271,2024-03-04,2024-03-11,2679.86,2708.3,2,2,"['1000142', '1000061', '1000121', '1000125']",1,0
day1,user_109,2024-05-07,2024-05-14,6713.53,7151.99,1,1,"['1000144', '1000133', '1000080', '1000066']",1,0
day120,user_113,2024-03-16,2024-03-23,1693.57,1781.06,0,0,"['1000018', '1000002', '1000117']",0,1
day90,user_85,2024-01-28,2024-02-04,0.0,360.26,1,1,"['1000118', '1000063']",1,0
day31,user_170,2024-02-22,2024-02-29,5789.04,5768.99,1,1,['1000079'],1,0
day90,user_121,2024-02-06,2024-02-13,5118.0,5441.77,1,1,"['1000135', '1000002']",1,0
day7,user_293,2024-02-15,2024-02-22,4439.65,4562.07,1,1,"['1000013', '1000141']",1,0
day120,user_120,2024-04-20,2024-04-27,3360.66,3398.07,2,2,['1000077'],0,1
day1,user_197,2024-04-25,2024-05-02,2584.47,2800.78,2,2,['1000118'],1,0
day90,user_173,2024-04-30,2024-05-07,4898.72,5287.15,1,1,"['1000107', '1000097', '1000044', '1000145']",1,0
day1,user_124,2024-02-09,2024-02-16,2429.07,2733.4,1,1,"['1000067', '1000029', '1000027', '1000141']",1,0
day7,user_198,2024-06-07,2024-06-14,4959.65,4990.22,1,1,"['1000135', '1000143', '1000081']",0,1
day61,user_89,2024-02-19,2024-02-26,2980.2,2936.2,1,1,"['1000023', '1000060', '1000042', '1000104']",0,1
day90,user_80,2024-01-03,2024-01-10,2477.84,2596.26,1,1,"['1000013', '1000025', '1000015', '1000103']",1,0
day5,user_66,2024-01-16,2024-01-23,4269.12,4560.18,1,1,['1000063'],1,0
